,Accuracy,Model,Layer,Task
1,93.33,BERT,1,WC
2,91.72,BERT,2,WC
3,89.17,BERT,3,WC
4,86.42,BERT,4,WC
5,83.02,BERT,5,WC
6,79.1,BERT,6,WC
7,75.83,BERT,7,WC
8,72.42,BERT,8,WC
9,67.95,BERT,9,WC
10,63.91,BERT,10,WC
11,62.29,BERT,11,WC
12,59.79,BERT,12,WC
1,1.62,PIXEL,1,WC
2,4.48,PIXEL,2,WC
3,15.09,PIXEL,3,WC
4,34.11,PIXEL,4,WC
5,56.99,PIXEL,5,WC
6,68.22,PIXEL,6,WC
7,71.81,PIXEL,7,WC
8,70.65,PIXEL,8,WC
9,68.82,PIXEL,9,WC
10,66.92,PIXEL,10,WC
11,65.77,PIXEL,11,WC
12,62.54,PIXEL,12,WC
1,3.86,ViT-mae,1,WC
2,4.21,ViT-mae,2,WC
3,5.11,ViT-mae,3,WC
4,5.6,ViT-mae,4,WC
5,5.67,ViT-mae,5,WC
6,6.2,ViT-mae,6,WC
7,5.7,ViT-mae,7,WC
8,5.72,ViT-mae,8,WC
9,5.54,ViT-mae,9,WC
10,5.41,ViT-mae,10,WC
11,4.22,ViT-mae,11,WC
12,2.64,ViT-mae,12,WC
1,0.1,Baseline,1,WC
2,0.1,Baseline,2,WC
3,0.1,Baseline,3,WC
4,0.1,Baseline,4,WC
5,0.1,Baseline,5,WC
6,0.1,Baseline,6,WC
7,0.1,Baseline,7,WC
8,0.1,Baseline,8,WC
9,0.1,Baseline,9,WC
10,0.1,Baseline,10,WC
11,0.1,Baseline,11,WC
12,0.1,Baseline,12,WC
1,9.09,PIXEL-bigrams,1,WC
2,21.28,PIXEL-bigrams,2,WC
3,31.19,PIXEL-bigrams,3,WC
4,41.73,PIXEL-bigrams,4,WC
5,47.49,PIXEL-bigrams,5,WC
6,54.04,PIXEL-bigrams,6,WC
7,55.1,PIXEL-bigrams,7,WC
8,55.43,PIXEL-bigrams,8,WC
9,53.88,PIXEL-bigrams,9,WC
10,52.63,PIXEL-bigrams,10,WC
11,50.0,PIXEL-bigrams,11,WC
12,47.06,PIXEL-bigrams,12,WC
1,5.99,PIXEL-UD,1,WC
2,12.78,PIXEL-UD,2,WC
3,25.66,PIXEL-UD,3,WC
4,43.58,PIXEL-UD,4,WC
5,62.31,PIXEL-UD,5,WC
6,71.16,PIXEL-UD,6,WC
7,71.5,PIXEL-UD,7,WC
8,68.8,PIXEL-UD,8,WC
9,64.42,PIXEL-UD,9,WC
10,59.43,PIXEL-UD,10,WC
11,55.57,PIXEL-UD,11,WC
12,52.66,PIXEL-UD,12,WC
1,35.68,PIXEL-bigrams-UD,1,WC
2,59.98,PIXEL-bigrams-UD,2,WC
3,71.52,PIXEL-bigrams-UD,3,WC
4,78.55,PIXEL-bigrams-UD,4,WC
5,81.97,PIXEL-bigrams-UD,5,WC
6,82.27,PIXEL-bigrams-UD,6,WC
7,81.12,PIXEL-bigrams-UD,7,WC
8,78.8,PIXEL-bigrams-UD,8,WC
9,75.63,PIXEL-bigrams-UD,9,WC
10,72.07,PIXEL-bigrams-UD,10,WC
11,69.06,PIXEL-bigrams-UD,11,WC
12,66.39,PIXEL-bigrams-UD,12,WC
1,37.21,BERT,1,TreeDepth
2,39.99,BERT,2,TreeDepth
3,40.96,BERT,3,TreeDepth
4,42.15,BERT,4,TreeDepth
5,43.03,BERT,5,TreeDepth
6,42.29,BERT,6,TreeDepth
7,42.29,BERT,7,TreeDepth
8,42.53,BERT,8,TreeDepth
9,41.04,BERT,9,TreeDepth
10,40.17,BERT,10,TreeDepth
11,39.01,BERT,11,TreeDepth
12,37.26,BERT,12,TreeDepth
1,22.79,PIXEL,1,TreeDepth
2,25.22,PIXEL,2,TreeDepth
3,27.61,PIXEL,3,TreeDepth
4,31.31,PIXEL,4,TreeDepth
5,34.22,PIXEL,5,TreeDepth
6,35.85,PIXEL,6,TreeDepth
7,37.81,PIXEL,7,TreeDepth
8,39.66,PIXEL,8,TreeDepth
9,40.38,PIXEL,9,TreeDepth
10,39.79,PIXEL,10,TreeDepth
11,39.13,PIXEL,11,TreeDepth
12,37.15,PIXEL,12,TreeDepth
1,24.05,ViT-mae,1,TreeDepth
2,24.7,ViT-mae,2,TreeDepth
3,24.51,ViT-mae,3,TreeDepth
4,25.05,ViT-mae,4,TreeDepth
5,25.18,ViT-mae,5,TreeDepth
6,24.74,ViT-mae,6,TreeDepth
7,24.59,ViT-mae,7,TreeDepth
8,23.75,ViT-mae,8,TreeDepth
9,24.66,ViT-mae,9,TreeDepth
10,24.23,ViT-mae,10,TreeDepth
11,24.12,ViT-mae,11,TreeDepth
12,22.45,ViT-mae,12,TreeDepth
1,17.88,Baseline,1,TreeDepth
2,17.88,Baseline,2,TreeDepth
3,17.88,Baseline,3,TreeDepth
4,17.88,Baseline,4,TreeDepth
5,17.88,Baseline,5,TreeDepth
6,17.88,Baseline,6,TreeDepth
7,17.88,Baseline,7,TreeDepth
8,17.88,Baseline,8,TreeDepth
9,17.88,Baseline,9,TreeDepth
10,17.88,Baseline,10,TreeDepth
11,17.88,Baseline,11,TreeDepth
12,17.88,Baseline,12,TreeDepth
1,26.62,PIXEL-bigrams,1,TreeDepth
2,27.58,PIXEL-bigrams,2,TreeDepth
3,28.89,PIXEL-bigrams,3,TreeDepth
4,29.52,PIXEL-bigrams,4,TreeDepth
5,30.0,PIXEL-bigrams,5,TreeDepth
6,30.89,PIXEL-bigrams,6,TreeDepth
7,31.04,PIXEL-bigrams,7,TreeDepth
8,31.17,PIXEL-bigrams,8,TreeDepth
9,31.62,PIXEL-bigrams,9,TreeDepth
10,31.83,PIXEL-bigrams,10,TreeDepth
11,31.42,PIXEL-bigrams,11,TreeDepth
12,30.98,PIXEL-bigrams,12,TreeDepth
1,25.14,PIXEL-UD,1,TreeDepth
2,26.21,PIXEL-UD,2,TreeDepth
3,28.53,PIXEL-UD,3,TreeDepth
4,30.03,PIXEL-UD,4,TreeDepth
5,32.17,PIXEL-UD,5,TreeDepth
6,34.13,PIXEL-UD,6,TreeDepth
7,34.89,PIXEL-UD,7,TreeDepth
8,36.35,PIXEL-UD,8,TreeDepth
9,38.15,PIXEL-UD,9,TreeDepth
10,38.62,PIXEL-UD,10,TreeDepth
11,38.71,PIXEL-UD,11,TreeDepth
12,38.74,PIXEL-UD,12,TreeDepth
1,28.82,PIXEL-bigrams-UD,1,TreeDepth
2,31.72,PIXEL-bigrams-UD,2,TreeDepth
3,32.91,PIXEL-bigrams-UD,3,TreeDepth
4,34.83,PIXEL-bigrams-UD,4,TreeDepth
5,36.21,PIXEL-bigrams-UD,5,TreeDepth
6,38.85,PIXEL-bigrams-UD,6,TreeDepth
7,41.29,PIXEL-bigrams-UD,7,TreeDepth
